domain,top_domain,traffic,primary_country_code,primary_country_share
news.google.com,google.com,94881645895,US,0.1929767
arz.m.wikipedia.org,wikipedia.org,5143703369,US,0.22235543
au.sports.yahoo.com,yahoo.com,4495242317,US,0.4877738
article.yahoo.co.jp,yahoo.co.jp,1846124587,JP,0.98287413
weather.com,weather.com,1644982011,US,0.41739931
social.technet.microsoft.com,microsoft.com,992365009,US,0.17163696
sway.office.com,office.com,873983152,US,0.29737476
finance.naver.com,naver.com,845945497,KR,0.9168386
arabic.cnn.com,cnn.com,674632188,US,0.74426705
myaccount.nytimes.com,nytimes.com,669840885,US,0.68558739
bbc.co.uk,bbc.co.uk,647852950,GB,0.84303319
blogs.oglobo.globo.com,globo.com,552564190,BR,0.94600665
msn.com,msn.com,537797018,US,0.43183017
hi-tech.mail.ru,mail.ru,537230306,RU,0.80024346
account.bbc.com,bbc.com,518496077,US,0.23710786
espn.com,espn.com,497440975,US,0.84479021
uol.com.br,uol.com.br,480131794,BR,0.94238528
keiba.rakuten.co.jp,rakuten.co.jp,452416491,JP,0.98406948
dailymail.co.uk,dailymail.co.uk,414333038,GB,0.42952718
cricbuzz.com,cricbuzz.com,401439171,IN,0.90745925
foxnews.com,foxnews.com,400673165,US,0.90663663
accuweather.com,accuweather.com,383951447,US,0.45867776
ar.marca.com,marca.com,381532507,ES,0.61868786
theguardian.com,theguardian.com,354015456,GB,0.35951686
new.qq.com,qq.com,321132719,CN,0.8221873
20.detik.com,detik.com,254663493,ID,0.97176789
argentina.as.com,as.com,249184430,ES,0.64801591
pocasi.seznam.cz,seznam.cz,225777118,CZ,0.95436255
finanse.wp.pl,wp.pl,222437252,PL,0.83109467
kultura.onet.pl,onet.pl,217948776,PL,0.82303903
healthline.com,healthline.com,207412400,US,0.4814158
br.investing.com,investing.com,204158634,TR,0.21605166
baseball.sports.smt.docomo.ne.jp,docomo.ne.jp,203100551,JP,0.99440499
fifa.com,fifa.com,202914011,US,0.10324181
news.livedoor.com,livedoor.com,196768977,JP,0.98843213
gismeteo.ru,gismeteo.ru,174158587,RU,0.94519703
infobae.com,infobae.com,172689514,AR,0.63228209
kooora.com,kooora.com,167352143,MA,0.32454439
video.vnexpress.net,vnexpress.net,167263630,VN,0.84629486
news.line.me,line.me,166613351,JP,0.4218378
br.tradingview.com,tradingview.com,151159735,IN,0.17838754
biznes.interia.pl,interia.pl,150926994,PL,0.86133612
finance.daum.net,daum.net,143147375,KR,0.91627579
espncricinfo.com,espncricinfo.com,143078967,IN,0.53804953
tenki.jp,tenki.jp,141791997,JP,0.99665771
bild.de,bild.de,141663238,DE,0.85886526
bari.repubblica.it,repubblica.it,140174339,IT,0.89519418
washingtonpost.com,washingtonpost.com,139585360,US,0.78710305
cnbc.com,cnbc.com,139276882,US,0.74099687
nypost.com,nypost.com,135933937,US,0.86830632
news.goo.ne.jp,goo.ne.jp,130993285,JP,0.98260666
livescore.com,livescore.com,130460302,ID,0.20367573
ansa.it,ansa.it,129407848,IT,0.9373521
aol.com,aol.com,129352076,US,0.80613421
coinmarketcap.com,coinmarketcap.com,129003778,US,0.16337792
corriere.it,corriere.it,128154138,IT,0.90983988
elmundo.es,elmundo.es,127221011,ES,0.81475606
idnes.cz,idnes.cz,124026550,CZ,0.91111613
bandung.kompas.com,kompas.com,118086898,ID,0.96485201
spiegel.de,spiegel.de,117685701,DE,0.89085806
nu.nl,nu.nl,114324031,NL,0.94488784
cincodias.elpais.com,elpais.com,114171739,ES,0.67757063
gazzetta.it,gazzetta.it,112824837,IT,0.87802257
economictimes.indiatimes.com,indiatimes.com,112093105,IN,0.76889438
jp.reuters.com,reuters.com,111235061,US,0.54589392
